sub event,brideAndGroom,parents,everyoneElse
'dancing',3%,1%,8%
'portrait',4%,4%,6%
'full party',6%,6%,10%
'other',0%,0%,0%
None',0%,0%,0%
'ceremony',6%,6%,6%
'bride and groom',12%,16%,8%
'couple',4%,4%,4%
'kiss',3%,3%,3%
'first dance',4%,6%,3%
'walking the aisle',3%,4%,2%
'bride party',3%,3%,4%
'groom party',3%,3%,4%
'bride getting dressed',3%,3%,2%
'very large group',5%,4%,7%
'detail',4%,1%,4%
'getting hair-makeup',yes,yes,yes
'entertainment',4%,2%,4%
'speech',2%,2%,2%
'invite',yes,yes,yes
'rings',yes,yes,yes
'cake cutting',1%,1%,1%
'suit',yes,yes,yes
'wedding dress',yes,yes,yes
'bride',12%,14%,8%
'groom',12%,14%,8%
'inside vehicle',yes,no,yes
'pet',yes,no,yes
'vehicle',yes,yes,yes
'settings',yes,no,yes
'food',yes,no,no
'accessories',yes,no,yes
may kiss bride,3%,2%,2%
bride and groom with parents,3%,3%,1%
groom with his parents,2%,2%,1%
bride with her parents,2%,2%,1%
parents portrait,3%,3%,1%